ID;Mun/UF;MUNICIPIO;UF;LATITUDE;LONGITUDE
612;VITORIA DA CONQUISTA - BA;VITORIA DA CONQUISTA;BA;-14,86;-40,83
236;BARRA DO CHOCA - BA;BARRA DO CHOCA;BA;-14,88;-40,57
214;ANAGE - BA;ANAGE;BA;-14,61;-41,13
506;PLANALTO - BA;PLANALTO;BA;-14,67;-40,47
243;BELO CAMPO - BA;BELO CAMPO;BA;-15,03;-41,26
388;ITAMBE - BA;ITAMBE;BA;-15,24;-40,62
259;CAATIBA - BA;CAATIBA;BA;-14,97;-40,4
264;CAETANOS - BA;CAETANOS;BA;-14,33;-40,91
285;CARAIBAS - BA;CARAIBAS;BA;-14,6;-41,33
592;TREMEDAL - BA;TREMEDAL;BA;-14,97;-41,41
507;POCOES - BA;POCOES;BA;-14,53;-40,36
248;BOM JESUS DA SERRA - BA;BOM JESUS DA SERRA;BA;-14,37;-40,5
527;RIBEIRAO DO LARGO - BA;RIBEIRAO DO LARGO;BA;-15,45;-40,73
458;MIRANTE - BA;MIRANTE;BA;-14,24;-40,77
440;MAETINGA - BA;MAETINGA;BA;-14,66;-41,49
323;ENCRUZILHADA - BA;ENCRUZILHADA;BA;-15,53;-40,9
474;NOVA CANAA - BA;NOVA CANAA;BA;-14,79;-40,14
394;ITAPETINGA - BA;ITAPETINGA;BA;-15,24;-40,24
280;CANDIDO SALES - BA;CANDIDO SALES;BA;-15,5;-41,23
225;ARACATU - BA;ARACATU;BA;-14,42;-41,46
363;IGUAI - BA;IGUAI;BA;-14,75;-40,08
402;ITORORO - BA;ITORORO;BA;-15,11;-40,07
245;BOA NOVA - BA;BOA NOVA;BA;-14,36;-40,2
436;MACARANI - BA;MACARANI;BA;-15,56;-40,42
514;PRESIDENTE JANIO QUADROS - BA;PRESIDENTE JANIO QUADROS;BA;-14,68;-41,67
1805;MATA VERDE - MG;MATA VERDE;MG;-15,68;-40,74
350;IBICUI - BA;IBICUI;BA;-14,84;-39,98
503;PIRIPA - BA;PIRIPA;BA;-14,94;-41,72
1588;DIVISOPOLIS - MG;DIVISOPOLIS;MG;-15,72;-41
333;FIRMINO ALVES - BA;FIRMINO ALVES;BA;-14,98;-39,92
582;TANHACU - BA;TANHACU;BA;-14,02;-41,24
445;MANOEL VITORINO - BA;MANOEL VITORINO;BA;-14,14;-40,24
441;MAIQUINIQUE - BA;MAIQUINIQUE;BA;-15,62;-40,26
1586;DIVISA ALEGRE - MG;DIVISA ALEGRE;MG;-15,72;-41,34
1854;NINHEIRA - MG;NINHEIRA;MG;-15,32;-41,75
539;SANTA CRUZ DA VITORIA - BA;SANTA CRUZ DA VITORIA;BA;-14,96;-39,81
318;DARIO MEIRA - BA;DARIO MEIRA;BA;-14,43;-39,9
256;BRUMADO - BA;BRUMADO;BA;-14,2;-41,66
1394;BANDEIRA - MG;BANDEIRA;MG;-15,88;-40,55
1347;AGUAS VERMELHAS - MG;AGUAS VERMELHAS;MG;-15,74;-41,46
308;CORDEIROS - BA;CORDEIROS;BA;-15,03;-41,93
305;CONDEUBA - BA;CONDEUBA;BA;-14,89;-41,96
380;ITAGI - BA;ITAGI;BA;-14,16;-40
444;MALHADA DE PEDRAS - BA;MALHADA DE PEDRAS;BA;-14,38;-41,87
398;ITARANTIM - BA;ITARANTIM;BA;-15,66;-40,06
342;GUAJERU - BA;GUAJERU;BA;-14,54;-41,94
